nik,section,sub_section,dedicated
11377,Finished goods,stickering,0
11378,Inspeksi,Camera Offline,1
11378,Inspeksi,Meja,0
11378,Inspeksi,Shrink,0
11378,Inspeksi,Cluster,0
11378,Inspeksi,Stickering,0
11378,Inspeksi,Rework,0
11381,Finished goods,Penandaan,1
11381,Finished goods,Putway,0
11381,Finished goods,Meja,0
11381,Finished goods,Camera Offline,0
11381,Finished goods,shrink,0
11381,Finished goods,cluster,0
11381,Finished goods,stickering,0
11384,Inspeksi,Camera Offline,1
11384,Inspeksi,Meja,0
11384,Inspeksi,Shrink,0
11384,Inspeksi,Cluster,0
11384,Inspeksi,Stickering,0
11384,Inspeksi,Rework,0
11385,Inspeksi,Camera Offline,1
11385,Inspeksi,Meja,0
11385,Inspeksi,Cluster,0
11385,Inspeksi,Stickering,0
11385,Inspeksi,Rework,0
11386,Inspeksi,Camera Offline,1
11386,Inspeksi,Meja,0
11386,Inspeksi,Cluster,0
11386,Inspeksi,Stickering,0
11386,Inspeksi,Rework,0
11388,Inspeksi,Camera Offline,1
11388,Inspeksi,Meja,0
11388,Inspeksi,Cluster,0
11388,Inspeksi,Stickering,0
11388,Inspeksi,Rework,0
11389,Inspeksi,Camera Offline,1
11389,Inspeksi,Meja,0
11389,Inspeksi,Shrink,0
11389,Inspeksi,Cluster,0
11389,Inspeksi,Stickering,0
11389,Inspeksi,Rework,0
11393,Inspeksi,Camera Offline,1
11393,Inspeksi,Meja,0
11393,Inspeksi,Cluster,0
11393,Inspeksi,Stickering,0
11393,Inspeksi,Rework,0
11395,Inspeksi,Camera Offline,1
11395,Inspeksi,Meja,0
11395,Inspeksi,Shrink,0
11395,Inspeksi,Cluster,0
11395,Inspeksi,Stickering,0
11395,Inspeksi,Rework,0
11396,Inspeksi,Camera Offline,1
11396,Inspeksi,Meja,0
11396,Inspeksi,Cluster,0
11396,Inspeksi,Stickering,0
11396,Inspeksi,Rework,0
11399,Loader,Loader,1
11403,Inspeksi,Camera Offline,1
11403,Inspeksi,Meja,0
11403,Inspeksi,Cluster,0
11403,Inspeksi,Stickering,0
11403,Inspeksi,Rework,0
11404,Inspeksi,Camera Offline,1
11404,Inspeksi,Meja,0
11404,Inspeksi,Shrink,0
11404,Inspeksi,Cluster,0
11404,Inspeksi,Stickering,0
11404,Inspeksi,Rework,0
11405,Inspeksi,Camera Offline,1
11405,Inspeksi,Meja,0
11405,Inspeksi,Shrink,0
11405,Inspeksi,Cluster,0
11405,Inspeksi,Stickering,0
11405,Inspeksi,Rework,0
11412,Inspeksi,Camera Offline,1
11412,Inspeksi,Meja,0
11412,Inspeksi,Shrink,0
11412,Inspeksi,Repallet,0
11412,Inspeksi,Pembuatan Partisi,0
11412,Inspeksi,Cleaning Pallet,0
11413,Inspeksi,Camera Offline,1
11413,Inspeksi,Meja,0
11413,Inspeksi,Shrink,0
11413,Inspeksi,Repallet,0
11413,Inspeksi,Pembuatan Partisi,0
11413,Inspeksi,Cleaning Pallet,0
11414,Inspeksi,Camera Offline,1
11414,Inspeksi,Meja,0
11414,Inspeksi,Shrink,0
11414,Inspeksi,Repallet,0
11414,Inspeksi,Pembuatan Partisi,0
11414,Inspeksi,Cleaning Pallet,0
11418,Inspeksi,Camera Offline,1
11418,Inspeksi,Meja,0
11418,Inspeksi,Shrink,0
11418,Inspeksi,Repallet,0
11418,Inspeksi,Pembuatan Partisi,0
11418,Inspeksi,Cleaning Pallet,0
11424,Inspeksi,Camera Offline,1
11424,Inspeksi,Meja,0
11424,Inspeksi,Shrink,0
11424,Inspeksi,Repallet,0
11424,Inspeksi,Pembuatan Partisi,0
11424,Inspeksi,Cleaning Pallet,0
11426,Finished goods,Penandaan,1
11426,Finished goods,Putway,0
11426,Finished goods,Meja,0
11426,Finished goods,Camera Offline,0
11426,Finished goods,shrink,0
11426,Finished goods,cluster,0
11426,Finished goods,stickering,0
11430,Finished goods,Penandaan,1
11430,Finished goods,Putway,0
11430,Finished goods,Meja,0
11430,Finished goods,Camera Offline,0
11430,Finished goods,shrink,0
11430,Finished goods,cluster,0
11430,Finished goods,stickering,0
11431,Finished goods,Penandaan,1
11431,Finished goods,Putway,0
11431,Finished goods,Meja,0
11431,Finished goods,Camera Offline,0
11431,Finished goods,shrink,0
11431,Finished goods,cluster,0
11431,Finished goods,stickering,0
11432,Inspeksi,Camera Offline,1
11432,Inspeksi,Meja,0
11432,Inspeksi,Cluster,0
11432,Inspeksi,Stickering,0
11432,Inspeksi,Rework,0
11434,Inspeksi,Camera Offline,1
11434,Inspeksi,Meja,0
11434,Inspeksi,Shrink,0
11434,Inspeksi,Cluster,0
11434,Inspeksi,Stickering,0
11434,Inspeksi,Rework,0
11435,Inspeksi,Camera Offline,1
11435,Inspeksi,Meja,0
11435,Inspeksi,Shrink,0
11435,Inspeksi,Cluster,0
11435,Inspeksi,Stickering,0
11435,Inspeksi,Rework,0
11443,Finished goods,Penandaan,1
11443,Finished goods,Putway,0
11443,Finished goods,Meja,0
11443,Finished goods,Camera Offline,0
11443,Finished goods,shrink,0
11443,Finished goods,cluster,0
11443,Finished goods,stickering,0
11449,Inspeksi,Camera Offline,1
11449,Inspeksi,Meja,0
11449,Inspeksi,Shrink,0
11449,Inspeksi,Repallet,0
11449,Inspeksi,Pembuatan Partisi,0
11449,Inspeksi,Cleaning Pallet,0
11461,Delivery,Dispatcer,1
11461,Delivery,Loader,0
11468,Inspeksi,Camera Offline,1
11468,Inspeksi,Meja,0
11468,Inspeksi,Shrink,0
11468,Inspeksi,Repallet,0
11468,Inspeksi,Pembuatan Partisi,0
11468,Inspeksi,Cleaning Pallet,0
11469,Inspeksi,Camera Offline,1
11469,Inspeksi,Meja,0
11469,Inspeksi,Shrink,0
11469,Inspeksi,Repallet,0
11469,Inspeksi,Pembuatan Partisi,0
11469,Inspeksi,Cleaning Pallet,0
11470,Finished goods,Penandaan,1
11473,Loader,Loader,1
11477,Inspeksi,Camera Offline,1
11477,Inspeksi,Meja,0
11477,Inspeksi,Shrink,0
11477,Inspeksi,Repallet,0
11477,Inspeksi,Pembuatan Partisi,0
11477,Inspeksi,Cleaning Pallet,0
11479,Inspeksi,Camera Offline,1
11479,Inspeksi,Meja,0
11479,Inspeksi,Shrink,0
11479,Inspeksi,Repallet,0
11479,Inspeksi,Pembuatan Partisi,0
11479,Inspeksi,Cleaning Pallet,0
11484,Loader,Loader,1
11487,Inspeksi,Camera Offline,1
11487,Inspeksi,Meja,0
11487,Inspeksi,Shrink,0
11487,Inspeksi,Repallet,0
11487,Inspeksi,Pembuatan Partisi,0
11487,Inspeksi,Cleaning Pallet,0
11501,Inspeksi,Camera Offline,1
11501,Inspeksi,Meja,0
11501,Inspeksi,Repallet,0
11501,Inspeksi,Pembuatan Partisi,0
11501,Inspeksi,Cleaning Pallet,0
11504,Loader,Loader,1
11514,Inspeksi,Camera Offline,1
11514,Inspeksi,Meja,0
11514,Inspeksi,Repallet,0
11514,Inspeksi,Pembuatan Partisi,0
11514,Inspeksi,Cleaning Pallet,0
11516,Inspeksi,Camera Offline,1
11516,Inspeksi,Meja,0
11516,Inspeksi,Shrink,0
11516,Inspeksi,Repallet,0
11516,Inspeksi,Pembuatan Partisi,0
11516,Inspeksi,Cleaning Pallet,0
11518,Inspeksi,Camera Offline,1
11518,Inspeksi,Meja,0
11518,Inspeksi,Repallet,0
11518,Inspeksi,Pembuatan Partisi,0
11518,Inspeksi,Cleaning Pallet,0
11526,Inspeksi,Camera Offline,1
11526,Inspeksi,Repallet,0
11526,Inspeksi,Pembuatan Partisi,0
11526,Inspeksi,Cleaning Pallet,0
11527,Finished goods,Penandaan,1
11527,Finished goods,Putway,0
11533,Finished goods,Penandaan,1
11533,Finished goods,Putway,0
11536,Inspeksi,Camera Offline,1
11536,Inspeksi,Repallet,0
11536,Inspeksi,Pembuatan Partisi,0
11536,Inspeksi,Cleaning Pallet,0
11546,Loader,Loader,1
11546,Loader,Penimbangan,0
11552,Finished goods,Penandaan,1
11553,Inspeksi,Camera Offline,1
11553,Inspeksi,Meja,0
11553,Inspeksi,Shrink,0
11553,Inspeksi,Repallet,0
11553,Inspeksi,Pembuatan Partisi,0
11553,Inspeksi,Cleaning Pallet,0
11556,Inspeksi,Camera Offline,1
11556,Inspeksi,Meja,0
11556,Inspeksi,Shrink,0
11556,Inspeksi,Repallet,0
11556,Inspeksi,Pembuatan Partisi,0
11556,Inspeksi,Cleaning Pallet,0
11560,Inspeksi,Camera Offline,1
11560,Inspeksi,Repallet,0
11560,Inspeksi,Pembuatan Partisi,0
11560,Inspeksi,Cleaning Pallet,0
11561,Delivery,Dispatcer,1
11561,Delivery,Loader,0
11572,Inspeksi,Camera Offline,1
11572,Inspeksi,Meja,0
11572,Inspeksi,Shrink,0
11572,Inspeksi,Repallet,0
11572,Inspeksi,Pembuatan Partisi,0
11572,Inspeksi,Cleaning Pallet,0
11576,Loader,Loader,1
11601,Inspeksi,Camera Offline,1
11601,Inspeksi,Meja,0
11601,Inspeksi,Cluster,0
11601,Inspeksi,Stickering,0
11601,Inspeksi,Rework,0
11602,Inspeksi,Camera Offline,1
11602,Inspeksi,Meja,0
11602,Inspeksi,Shrink,0
11602,Inspeksi,Cluster,0
11602,Inspeksi,Stickering,0
11602,Inspeksi,Rework,0
11603,Finished goods,Penandaan,1
11603,Finished goods,Putway,0
11603,Finished goods,Meja,0
11603,Finished goods,Camera Offline,0
11603,Finished goods,shrink,0
11603,Finished goods,cluster,0
11603,Finished goods,stickering,0
11608,Inspeksi,Camera Offline,1
11608,Inspeksi,Meja,0
11608,Inspeksi,Shrink,0
11608,Inspeksi,Cluster,0
11608,Inspeksi,Stickering,0
11608,Inspeksi,Rework,0
11609,Finished goods,Penandaan,1
11609,Finished goods,Putway,0
11609,Finished goods,Meja,0
11609,Finished goods,Camera Offline,0
11609,Finished goods,shrink,0
11609,Finished goods,cluster,0
11609,Finished goods,stickering,0
11611,Inspeksi,Camera Offline,1
11611,Inspeksi,Meja,0
11611,Inspeksi,Shrink,0
11611,Inspeksi,Cluster,0
11611,Inspeksi,Stickering,0
11611,Inspeksi,Rework,0
11612,Inspeksi,Camera Offline,1
11612,Inspeksi,Meja,0
11612,Inspeksi,Shrink,0
11612,Inspeksi,Cluster,0
11612,Inspeksi,Stickering,0
11612,Inspeksi,Rework,0
11614,Inspeksi,Camera Offline,1
11614,Inspeksi,Meja,0
11614,Inspeksi,Shrink,0
11614,Inspeksi,Cluster,0
11614,Inspeksi,Stickering,0
11614,Inspeksi,Rework,0
11617,Finished goods,Penandaan,1
11617,Finished goods,Putway,0
11617,Finished goods,Meja,0
11617,Finished goods,Camera Offline,0
11617,Finished goods,shrink,0
11617,Finished goods,cluster,0
11617,Finished goods,stickering,0
11621,Inspeksi,Camera Offline,1
11621,Inspeksi,Meja,0
11621,Inspeksi,Cluster,0
11621,Inspeksi,Stickering,0
11621,Inspeksi,Rework,0
11622,Inspeksi,Camera Offline,1
11622,Inspeksi,Meja,0
11622,Inspeksi,Shrink,0
11622,Inspeksi,Cluster,0
11622,Inspeksi,Stickering,0
11622,Inspeksi,Rework,0
11625,Inspeksi,Camera Offline,1
11625,Inspeksi,Meja,0
11625,Inspeksi,Shrink,0
11625,Inspeksi,Cluster,0
11625,Inspeksi,Stickering,0
11625,Inspeksi,Rework,0
11628,Inspeksi,Camera Offline,1
11628,Inspeksi,Meja,0
11628,Inspeksi,Shrink,0
11628,Inspeksi,Cluster,0
11628,Inspeksi,Stickering,0
11628,Inspeksi,Rework,0
11629,Inspeksi,Camera Offline,1
11629,Inspeksi,Meja,0
11629,Inspeksi,Shrink,0
11629,Inspeksi,Cluster,0
11629,Inspeksi,Stickering,0
11629,Inspeksi,Rework,0
11630,Inspeksi,Camera Offline,1
11630,Inspeksi,Meja,0
11630,Inspeksi,Cluster,0
11630,Inspeksi,Stickering,0
11630,Inspeksi,Rework,0
11637,Inspeksi,Camera Offline,1
11637,Inspeksi,Meja,0
11637,Inspeksi,Shrink,0
11637,Inspeksi,Repallet,0
11637,Inspeksi,Pembuatan Partisi,0
11637,Inspeksi,Cleaning Pallet,0
11643,Inspeksi,Camera Offline,1
11643,Inspeksi,Bongkar Material/Cap/Juice,0
11647,Inspeksi,Camera Offline,1
11647,Inspeksi,Meja,0
11647,Inspeksi,Shrink,0
11647,Inspeksi,Repallet,0
11647,Inspeksi,Pembuatan Partisi,0
11647,Inspeksi,Cleaning Pallet,0
11649,Inspeksi,Camera Offline,1
11649,Inspeksi,Meja,0
11649,Inspeksi,Shrink,0
11649,Inspeksi,Repallet,0
11649,Inspeksi,Pembuatan Partisi,0
11649,Inspeksi,Cleaning Pallet,0
11656,Inspeksi,Camera Offline,1
11656,Inspeksi,Meja,0
11656,Inspeksi,Shrink,0
11656,Inspeksi,Repallet,0
11656,Inspeksi,Pembuatan Partisi,0
11656,Inspeksi,Cleaning Pallet,0
11659,Inspeksi,Camera Offline,1
11659,Inspeksi,Meja,0
11659,Inspeksi,Shrink,0
11659,Inspeksi,Repallet,0
11659,Inspeksi,Pembuatan Partisi,0
11659,Inspeksi,Cleaning Pallet,0
11663,Finished goods,Penandaan,1
11663,Finished goods,Putway,0
11663,Finished goods,Meja,0
11663,Finished goods,Camera Offline,0
11663,Finished goods,shrink,0
11663,Finished goods,cluster,0
11663,Finished goods,stickering,0
11665,Inspeksi,Camera Offline,1
11665,Inspeksi,Meja,0
11665,Inspeksi,Cluster,0
11665,Inspeksi,Stickering,0
11665,Inspeksi,Rework,0
11668,Inspeksi,Camera Offline,1
11668,Inspeksi,Meja,0
11668,Inspeksi,Shrink,0
11668,Inspeksi,Cluster,0
11668,Inspeksi,Stickering,0
11668,Inspeksi,Rework,0
11671,Inspeksi,Camera Offline,1
11671,Inspeksi,Meja,0
11671,Inspeksi,Shrink,0
11671,Inspeksi,Cluster,0
11671,Inspeksi,Stickering,0
11671,Inspeksi,Rework,0
11673,Inspeksi,Camera Offline,1
11673,Inspeksi,Meja,0
11673,Inspeksi,Shrink,0
11673,Inspeksi,Cluster,0
11673,Inspeksi,Stickering,0
11673,Inspeksi,Rework,0
11674,Inspeksi,Camera Offline,1
11674,Inspeksi,Meja,0
11674,Inspeksi,Shrink,0
11674,Inspeksi,Cluster,0
11674,Inspeksi,Stickering,0
11674,Inspeksi,Rework,0
11676,Inspeksi,Camera Offline,1
11676,Inspeksi,Meja,0
11676,Inspeksi,Shrink,0
11676,Inspeksi,Cluster,0
11676,Inspeksi,Stickering,0
11676,Inspeksi,Rework,0
11677,Inspeksi,Camera Offline,1
11677,Inspeksi,Meja,0
11677,Inspeksi,Shrink,0
11677,Inspeksi,Cluster,0
11677,Inspeksi,Stickering,0
11677,Inspeksi,Rework,0
11682,Inspeksi,Camera Offline,1
11682,Inspeksi,Meja,0
11682,Inspeksi,Shrink,0
11682,Inspeksi,Cluster,0
11682,Inspeksi,Stickering,0
11682,Inspeksi,Rework,0
11683,Inspeksi,Camera Offline,1
11683,Inspeksi,Meja,0
11683,Inspeksi,Cluster,0
11683,Inspeksi,Stickering,0
11683,Inspeksi,Rework,0
11684,Inspeksi,Camera Offline,1
11684,Inspeksi,Meja,0
11684,Inspeksi,Shrink,0
11684,Inspeksi,Cluster,0
11684,Inspeksi,Stickering,0
11684,Inspeksi,Rework,0
11687,Inspeksi,Camera Offline,1
11687,Inspeksi,Meja,0
11687,Inspeksi,Shrink,0
11687,Inspeksi,Cluster,0
11687,Inspeksi,Stickering,0
11687,Inspeksi,Rework,0
11688,Inspeksi,Camera Offline,1
11688,Inspeksi,Meja,0
11688,Inspeksi,Cluster,0
11688,Inspeksi,Stickering,0
11688,Inspeksi,Rework,0
11689,Inspeksi,Camera Offline,1
11689,Inspeksi,Meja,0
11689,Inspeksi,Shrink,0
11689,Inspeksi,Cluster,0
11689,Inspeksi,Stickering,0
11689,Inspeksi,Rework,0
11691,Inspeksi,Camera Offline,1
11691,Inspeksi,Meja,0
11691,Inspeksi,Shrink,0
11691,Inspeksi,Cluster,0
11691,Inspeksi,Stickering,0
11691,Inspeksi,Rework,0
11693,Finished goods,Penandaan,1
11693,Finished goods,Meja,0
11693,Finished goods,Camera Offline,0
11693,Finished goods,rework,0
11693,Finished goods,shrink,0
11693,Finished goods,cluster,0
11693,Finished goods,stickering,0
11694,Inspeksi,Camera Offline,1
11694,Inspeksi,Meja,0
11694,Inspeksi,Shrink,0
11694,Inspeksi,Cluster,0
11694,Inspeksi,Stickering,0
11694,Inspeksi,Rework,0
11695,Inspeksi,Camera Offline,1
11695,Inspeksi,Meja,0
11695,Inspeksi,Shrink,0
11695,Inspeksi,Cluster,0
11695,Inspeksi,Stickering,0
11695,Inspeksi,Rework,0
11702,Loader,Loader,1
11708,Loader,Loader,1
11709,Loader,Loader,1
11713,Loader,Loader,1
11716,Loader,Loader,1
11716,Loader,Bongkar Material/Cap/Juice,0
11726,Loader,Loader,1
11728,Loader,Loader,1
11728,Loader,Bongkar Material/Cap/Juice,0
11729,Loader,Loader,1
11731,Loader,Loader,1
11732,Loader,Loader,1
11733,Loader,Loader,1
11736,Loader,Loader,1
11740,Loader,Loader,1
11742,Loader,Loader,1
11745,Loader,Loader,1
11746,Loader,Loader,1
11747,Loader,Loader,1
11748,Loader,Loader,1
11749,Loader,Loader,1
11750,Loader,Loader,1
11751,Loader,Loader,1
11752,Loader,Loader,1
11753,Loader,Loader,1
11754,Loader,Loader,1
11755,Loader,Loader,1
11756,Loader,Loader,1
11757,Loader,Loader,1
11758,Loader,Loader,1
11759,Loader,Loader,1
11760,Loader,Loader,1
11761,Loader,Loader,1
11762,Loader,Loader,1
11763,Loader,Loader,1
11764,Loader,Loader,1
11765,Produksi,Reject,1
11766,Produksi,Reject,1
11767,Produksi,Reject,1
11768,Produksi,Reject,1
11769,Produksi,Reject,1
11770,Produksi,Reject,1
11771,Produksi,Reject,1
11772,Produksi,Reject,1
