nik,section,sub_section,dedicated
10609,Inspeksi,Stickering,0
10609,Inspeksi,Rework,0
10612,Operator Forklift,Operator Forklift,1
10616,Operator Forklift,Operator Forklift,1
10616,Operator Forklift,Checker SAP,0
10619,Delivery,Dispatcer,1
10619,Delivery,Loader,0
10625,Operator Forklift,Operator Forklift,1
10627,Inspeksi,Camera Offline,1
10627,Inspeksi,Meja,0
10627,Inspeksi,Repallet,0
10627,Inspeksi,Pembuatan Partisi,0
10627,Inspeksi,Cleaning Pallet,0
10629,Inspeksi,Camera Offline,1
10629,Inspeksi,Meja,0
10629,Inspeksi,Shrink,0
10629,Inspeksi,Repallet,0
10629,Inspeksi,Pembuatan Partisi,0
10629,Inspeksi,Cleaning Pallet,0
10630,Operator Forklift,Operator Forklift,1
10633,Inspeksi,Camera Offline,1
10633,Inspeksi,Meja,0
10633,Inspeksi,Shrink,0
10633,Inspeksi,Repallet,0
10633,Inspeksi,Pembuatan Partisi,0
10633,Inspeksi,Cleaning Pallet,0
10636,Finished goods,Leader Finished goods,1
10640,Operator Forklift,Operator Forklift,1
10640,Operator Forklift,Dispatcer,0
10649,Inspeksi,Checker Inspeksi,1
10660,Inspeksi,Camera Offline,1
10660,Inspeksi,Meja,0
10660,Inspeksi,Cluster,0
10660,Inspeksi,Stickering,0
10660,Inspeksi,Rework,0
10666,Inspeksi,Camera Offline,1
10666,Inspeksi,Meja,0
10666,Inspeksi,Shrink,0
10666,Inspeksi,Repallet,0
10666,Inspeksi,Pembuatan Partisi,0
10666,Inspeksi,Cleaning Pallet,0
10669,Inspeksi,Camera Offline,1
10669,Inspeksi,Shrink,0
10669,Inspeksi,Repallet,0
10669,Inspeksi,Pembuatan Partisi,0
10669,Inspeksi,Cleaning Pallet,0
10671,RM/PM,Buffer Room,1
10671,RM/PM,Penimbangan,0
10672,RM/PM,Buffer Room,1
10672,RM/PM,Penimbangan,0
10678,Inspeksi,Camera Offline,1
10678,Inspeksi,Meja,0
10678,Inspeksi,Cluster,0
10678,Inspeksi,Stickering,0
10678,Inspeksi,Rework,0
10683,RM/PM,Checker,1
10683,RM/PM,Buffer Room,0
10689,Delivery,Admin Delivery,1
10704,Inspeksi,Camera Offline,1
10704,Inspeksi,Meja,0
10704,Inspeksi,Shrink,0
10704,Inspeksi,Cluster,0
10704,Inspeksi,Stickering,0
10704,Inspeksi,Rework,0
10718,Inspeksi,Camera Offline,1
10718,Inspeksi,Meja,0
10718,Inspeksi,Cluster,0
10718,Inspeksi,Stickering,0
10718,Inspeksi,Rework,0
10719,Inspeksi,Camera Offline,1
10719,Inspeksi,Meja,0
10719,Inspeksi,Cluster,0
10719,Inspeksi,Stickering,0
10719,Inspeksi,Rework,0
10726,Operator Forklift,Operator Forklift,1
10728,Loader,Loader,1
10729,Inspeksi,Camera Offline,1
10729,Inspeksi,Meja,0
10729,Inspeksi,Shrink,0
10729,Inspeksi,Repallet,0
10729,Inspeksi,Pembuatan Partisi,0
10729,Inspeksi,Cleaning Pallet,0
10734,Delivery,Dispatcer,1
10734,Delivery,Loader,0
10739,Inspeksi,Camera Offline,1
10739,Inspeksi,Meja,0
10739,Inspeksi,Shrink,0
10739,Inspeksi,Repallet,0
10739,Inspeksi,Pembuatan Partisi,0
10739,Inspeksi,Cleaning Pallet,0
10741,Inspeksi,Camera Offline,1
10741,Inspeksi,Meja,0
10741,Inspeksi,Cluster,0
10741,Inspeksi,Stickering,0
10741,Inspeksi,Rework,0
10744,Inspeksi,Camera Offline,1
